algo, mean_error, std_error, mean_time, std_time
0.000000, 0.000000, 0.000000, 198.023524, 113.870472
0.010000, 0.002706, 0.002193, 145.639576, 90.570880
0.020000, 0.005324, 0.003099, 111.183357, 72.266015
0.030000, 0.009045, 0.005117, 87.928359, 59.699901
0.040000, 0.012141, 0.007740, 67.053354, 52.411577
0.050000, 0.019156, 0.011560, 49.444678, 39.490669
0.060000, 0.028735, 0.014341, 35.794006, 30.056652
0.070000, 0.031380, 0.014912, 27.728223, 22.120914
0.080000, 0.031626, 0.015056, 20.991500, 17.815690
0.090000, 0.031443, 0.015182, 15.892888, 13.057593
0.100000, 0.031838, 0.015206, 11.676478, 9.571406
0.110000, 0.034070, 0.015351, 10.005475, 7.886447
0.120000, 0.041113, 0.026224, 8.039361, 6.357220
0.130000, 0.041375, 0.026243, 6.076832, 4.600697
0.140000, 0.042214, 0.027108, 4.971597, 3.990473
0.150000, 0.043594, 0.027095, 4.020992, 2.775767
0.160000, 0.043947, 0.026214, 2.855025, 1.941815
0.170000, 0.044090, 0.027423, 2.274161, 1.494338
0.180000, 0.043916, 0.027119, 1.830747, 1.303398
0.190000, 0.047713, 0.027783, 1.797907, 1.003566
0.200000, 0.049355, 0.028482, 1.900607, 1.561079
0.210000, 0.049921, 0.028335, 1.436716, 0.955453
0.220000, 0.048899, 0.027863, 0.939806, 0.715077
0.230000, 0.049367, 0.025902, 0.930911, 0.998804
0.240000, 0.053370, 0.023547, 0.987022, 0.695980
