25, Desicion Tree, iris, 0.207333, 0.128736
50, Desicion Tree, iris, 0.089333, 0.081932
100, Desicion Tree, iris, 0.058667, 0.011470
200, Desicion Tree, iris, 0.058000, 0.011175

25, Desicion Tree, letter, 0.844920, 0.091702
50, Desicion Tree, letter, 0.800797, 0.062761
100, Desicion Tree, letter, 0.777182, 0.064674
200, Desicion Tree, letter, 0.711449, 0.073442

25, Desicion Tree, gina-agnostic, 0.249793, 0.023317
50, Desicion Tree, gina-agnostic, 0.233934, 0.028726
100, Desicion Tree, gina-agnostic, 0.218251, 0.022881
200, Desicion Tree, gina-agnostic, 0.204985, 0.018534
